Area,Outcome Month,Outcome type,Crime Month,Crime type
Barking and Dagenham,10401,10401,10401,10401
Barnet,14321,14321,14321,14321
Bexley,7837,7837,7837,7837
Brent,15911,15911,15911,15911
Bromley,12499,12499,12499,12499
Camden,17274,17274,17274,17274
Croydon,17711,17711,17711,17711
Ealing,17265,17265,17265,17265
Enfield,14058,14058,14058,14058
Greenwich,14483,14483,14483,14483
Hackney,16877,16877,16877,16877
Hammersmith and Fulham,12694,12694,12694,12694
Haringey,16286,16286,16286,16286
Harrow,7579,7579,7579,7579
Havering,9961,9961,9961,9961
Hillingdon,15088,15088,15088,15088
Hounslow,13524,13524,13524,13524
Islington,16810,16810,16810,16810
Kensington and Chelsea,12332,12332,12332,12332
Kingston upon Thames,6578,6578,6578,6578
Lambeth,20459,20459,20459,20459
Lewisham,15397,15397,15397,15397
Merton,7408,7408,7408,7408
Newham,17134,17134,17134,17134
Not in London,760,760,760,760
Redbridge,11871,11871,11871,11871
Richmond upon Thames,6235,6235,6235,6235
Southwark,18499,18499,18499,18499
Sutton,6283,6283,6283,6283
Tower Hamlets,17460,17460,17460,17460
Waltham Forest,12221,12221,12221,12221
Wandsworth,14205,14205,14205,14205
Westminster,28748,28748,28748,28748
